956,6097,6099,6098,6100,6101,6102,6103,6104|5.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0|1301961600,1303084800,1303257600,1306886400,1312156800,1316304000,1324944000,1352764800
1083,4396,1720,4196,4870,5430|5.0,4.0,4.0,4.0,3.0|1351123200,1352332800,1353715200,1353715200,1353715200
1354,8266,8268,8267,8269,8270,8271,8272,8273|4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0|1182816000,1293840000,1364083200,1366761600,1366761600,1366761600,1366761600,1366761600
1426,4223,4196,5036,4203,4204,4207,8619,4615|5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0|1367539200,1368403200,1372464000,1372723200,1372982400,1389744000,1391385600,1401494400
1716,4196,4396,1720,10151|4.0,3.0,5.0,3.0|1316995200,1316995200,1316995200,1316995200
1718,10157,1720,4870,4196,4555|4.0,5.0,5.0,4.0,5.0|1358208000,1360972800,1373760000,1376956800,1400544000
2052,11802,11799,11798,10381,11800,11801,11771,4944|5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0|1358899200,1365292800,1370908800,1372118400,1374278400,1377302400,1379116800,1400025600
2136,4396,4196,1720,12188|5.0,5.0,5.0,5.0|1257984000,1301443200,1336176000,1381104000
2193,4196,8521,3477,3479|4.0,5.0,5.0,5.0|1356048000,1357603200,1358035200,1388534400
2199,4196,519,1155,1154|5.0,3.0,3.0,1.0|1331424000,1350172800,1350172800,1362268800
2255,4196,11161,4396,12494,1720|4.0,5.0,5.0,1.0,5.0|1325030400,1325030400,1325030400,1325030400,1325030400
2346,2054,5036,4203,4204,4207,8619,4196|5.0,5.0,5.0,5.0,5.0,5.0,5.0|1380758400,1383696000,1383868800,1383955200,1384128000,1384560000,1390089600
2560,4490,14111,4233,4234,5891,4961,9201,1326|5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0|1372032000,1375660800,1375660800,1375660800,1379635200,1381968000,1384819200,1385856000
2719,1080,4196,4396,8720,4553|5.0,5.0,5.0,3.0,5.0|1184544000,1188777600,1249430400,1251504000,1281744000
2813,15258,4196,15259,15260,15262,15261,15263|5.0,5.0,3.0,3.0,5.0,5.0,5.0|1350691200,1373241600,1373673600,1374278400,1374364800,1374451200,1374537600
2866,4196,1720,4870,5430,15493|5.0,5.0,4.0,4.0,5.0|1303689600,1303689600,1303689600,1303689600,1323388800
2998,4196,519,1155,16092|4.0,5.0,5.0,5.0|1334880000,1334880000,1334880000,1334880000
3177,4196,4396,1720,5765|5.0,5.0,5.0,4.0|1315008000,1315008000,1315008000,1315008000
3404,4196,5111,10154,4612,4613|5.0,5.0,5.0,5.0,5.0|1357776000,1358208000,1358294400,1364947200,1364947200
3678,5111,4459,4196,9912,19069|5.0,5.0,5.0,5.0,5.0|1356825600,1359417600,1365033600,1372550400,1388448000
3719,4196,5111,4459,4554,19245|4.0,5.0,4.0,2.0,5.0|1356998400,1357084800,1357430400,1359158400,1363824000
4912,26134,26135,26136,26137,26138,26139,26140,26141|3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0|1361664000,1361664000,1361923200,1376956800,1377388800,1389744000,1394755200,1401408000
5091,26973,27211,4553,27212,16753|4.0,4.0,4.0,5.0,5.0|1388707200,1395100800,1397692800,1397692800,1397692800
5437,3007,2900,8050,28939,20930|5.0,4.0,2.0,5.0,5.0|1395792000,1396483200,1398038400,1400630400,1405036800
5528,28410,20930,24324,20935|5.0,5.0,5.0,5.0|1147651200,1150329600,1150416000,1150848000
5673,11080,43,253,5370,44|4.0,3.0,1.0,4.0,2.0|1257292800,1289347200,1310774400,1330819200,1357948800
5711,253,8138,10251,11951|5.0,3.0,5.0,5.0|1383782400,1383782400,1383782400,1383782400
5717,10002,30198,28011,30199,253|4.0,4.0,5.0,3.0,3.0|1025222400,1025222400,1025222400,1025222400,1348790400
5729,30234,253,4813,6720|5.0,5.0,5.0,5.0|1353196800,1358726400,1364774400,1393113600
5745,253,9440,30298,30299,30300|5.0,5.0,5.0,5.0,5.0|1390867200,1390867200,1401321600,1401321600,1401321600
5750,253,30312,30313,30314,4405|5.0,5.0,4.0,5.0,5.0|1377216000,1377216000,1390953600,1390953600,1397347200
5751,253,9440,17346,4870,30315|5.0,5.0,5.0,3.0,5.0|1377388800,1377388800,1377388800,1378684800,1393286400
5779,253,9440,4813,6454,30234,30415|5.0,5.0,5.0,5.0,5.0,4.0|1359676800,1359676800,1359676800,1359676800,1359676800,1359676800
5912,253,30978,3035,30312|3.0,4.0,4.0,4.0|1311292800,1324944000,1325030400,1325030400
5935,253,1720,5430,4870|4.0,4.0,4.0,3.0|1364256000,1388361600,1389139200,1389830400
5951,31124,31122,31123,8591,8592,253|4.0,5.0,5.0,4.0,5.0,5.0|1325376000,1360454400,1360454400,1360454400,1360454400,1376784000
5968,253,9440,8138,6454,31191|5.0,5.0,5.0,5.0,5.0|1370649600,1370649600,1370649600,1370649600,1370649600
5977,253,9440,6454,29672,30234|5.0,5.0,5.0,5.0,5.0|1355011200,1355011200,1355011200,1355011200,1355011200
6044,31475,6454,17346,253|5.0,4.0,3.0,1.0|1317513600,1328313600,1332115200,1336867200
6081,253,31591,30312,4405|5.0,4.0,5.0,5.0|1380067200,1398816000,1401580800,1402704000
6112,4813,6454,17346,253,9440,31713,1405,31714|4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0|1371686400,1373500800,1374969600,1376611200,1376611200,1385942400,1385942400,1400889600
6142,9440,4566,4813,6454,17346,31806,253|3.0,5.0,5.0,4.0,5.0,4.0,2.0|1225411200,1225411200,1225411200,1225411200,1225411200,1225411200,1341878400
6144,253,31811,3035,30978,10512|3.0,5.0,5.0,5.0,5.0|1312934400,1313625600,1330214400,1330214400,1386547200
6248,10251,32219,253,8138,5333|5.0,5.0,5.0,5.0,4.0|1352678400,1352678400,1357084800,1357084800,1387152000
6250,9440,4813,6454,253|1.0,2.0,2.0,1.0|1341446400,1341446400,1341446400,1341705600
6300,4813,9440,253,32414,32413|5.0,5.0,2.0,4.0,4.0|1311552000,1311638400,1312848000,1313712000,1315267200
6311,17346,4813,32450,253,18666|5.0,5.0,4.0,4.0,4.0|1188777600,1286668800,1299715200,1312416000,1359331200
6333,253,9440,4440,4813,6454,7563,17346,1720|5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0|1368748800,1368748800,1368748800,1368748800,1368748800,1368748800,1368748800,1368748800
6345,253,9440,4813,30234|3.0,4.0,5.0,4.0|1355875200,1355875200,1355875200,1355875200
6367,253,32668,4813,6454,32669|3.0,4.0,5.0,5.0,2.0|1392336000,1392336000,1392336000,1392336000,1392336000
6369,253,9440,1155,1720|5.0,4.0,3.0,5.0|1358553600,1358553600,1358553600,1358553600
6379,253,9440,4813,6454,17346|5.0,4.0,5.0,5.0,5.0|1378944000,1378944000,1378944000,1378944000,1378944000
6398,4813,6454,9440,17346,253|5.0,3.0,2.0,5.0,3.0|1304812800,1304899200,1306195200,1306195200,1311206400
6510,253,4813,6454,17346,14274,33248|5.0,4.0,5.0,5.0,3.0,2.0|1363824000,1363824000,1363824000,1363824000,1363824000,1363824000
6634,253,9440,17346,33734|5.0,5.0,5.0,4.0|1372636800,1372636800,1372636800,1396051200
6654,253,9440,4813,6454,17346,12920,3685|5.0,5.0,5.0,5.0,5.0,3.0,2.0|1367107200,1367107200,1367107200,1367107200,1367107200,1391299200,1392076800
6658,253,9440,19785,17346|2.0,3.0,4.0,5.0|1357862400,1366761600,1366761600,1366761600
6673,33862,11668,4813,30234,253|5.0,5.0,5.0,4.0,3.0|1345334400,1346889600,1358726400,1358726400,1372118400
6751,4813,6454,17346,34174,9440,253|5.0,4.0,4.0,3.0,4.0,4.0|1357948800,1359331200,1361491200,1362787200,1362873600,1367452800
6791,253,9440,4813,6454|1.0,1.0,5.0,3.0|1341964800,1341964800,1341964800,1341964800
6827,253,355,519,1155,1946|5.0,5.0,5.0,5.0,5.0|1358640000,1358640000,1358640000,1358640000,1370736000
6922,4813,34857,6454,253|4.0,2.0,3.0,4.0|1390780800,1390867200,1392163200,1399161600
6965,9440,28674,30234,35031,253|3.0,5.0,4.0,4.0,3.0|1356825600,1356825600,1356825600,1356825600,1358121600
6966,9440,4813,6454,17346,253|3.0,4.0,4.0,4.0,4.0|1363651200,1363651200,1363651200,1363651200,1377993600
7079,27169,6454,30234,253|5.0,4.0,4.0,5.0|1371427200,1374192000,1379376000,1397692800
7173,253,9440,4813,6454,17346,30312,8593|3.0,3.0,5.0,4.0,5.0,5.0,4.0|1403568000,1403568000,1403568000,1403568000,1403568000,1403568000,1403568000
7250,253,9440,17346,6022|5.0,5.0,5.0,5.0|1363564800,1363564800,1363564800,1401321600
7328,253,8138,10251,8195,4630|3.0,5.0,4.0,4.0,5.0|1361145600,1361145600,1361145600,1361145600,1396483200
7330,15021,5018,36363,17180,32508,36364,36362,36361|5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0|1365465600,1365638400,1365811200,1366243200,1366761600,1367366400,1368057600,1371340800
7391,4813,6454,9440,253,4199,5078|5.0,3.0,3.0,4.0,5.0,5.0|1383436800,1383868800,1384732800,1385942400,1386806400,1387065600
7403,4813,1720,253,36659,4490|5.0,4.0,5.0,5.0,5.0|1356652800,1356652800,1365552000,1365552000,1375920000
7405,36663,4813,6454,253|5.0,5.0,5.0,4.0|1349740800,1352073600,1353888000,1385769600
7410,17346,4785,253,9440|5.0,4.0,5.0,3.0|1365724800,1370736000,1376611200,1376611200
7415,4814,4813,6454,36692,17346,253|5.0,5.0,5.0,5.0,5.0,2.0|1097539200,1134691200,1134950400,1134950400,1135036800,1312934400
7421,4813,17346,253,36710|5.0,5.0,5.0,5.0|1373500800,1377820800,1396742400,1398470400
7423,15443,307,36717,253,96|4.0,5.0,5.0,5.0,5.0|1373760000,1373846400,1373846400,1375920000,1390867200
7433,253,9440,4813,6454,17346,1720|5.0,5.0,5.0,5.0,5.0,1.0|1404259200,1404259200,1404259200,1404259200,1404259200,1404259200
7489,36953,9440,4813,253,36952|1.0,1.0,5.0,3.0,5.0|1329955200,1338076800,1338076800,1365120000,997920000
7554,35102,37146,12857,35101,5066,35142,37031,19236|5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0|1386374400,1393632000,1393632000,1393632000,1393632000,1393632000,1393632000,1393632000
7561,253,8138,4813,6454,9440|5.0,5.0,5.0,5.0,5.0|1365120000,1368576000,1380499200,1381622400,1392595200
7573,4813,6454,1091,253,4615|5.0,5.0,4.0,5.0,5.0|1373500800,1373500800,1373500800,1386806400,1402617600
7574,9440,5430,4870,253,20419|5.0,5.0,5.0,5.0,5.0|1357257600,1357603200,1357862400,1361318400,1367193600
7607,37315,31302,4813,6454,17346,9440,253,9742|5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0|1267747200,1363564800,1371340800,1372118400,1372118400,1374192000,1376697600,1379980800
7612,253,1720,5682,4870|1.0,4.0,4.0,3.0|1311897600,1342828800,1342828800,1342828800
7649,4166,37486,253,9440,4813,6454,17346,37487|3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0|1375660800,1378425600,1382400000,1382400000,1382400000,1382400000,1382400000,1382400000
7684,4813,253,1290,1291,12864|5.0,5.0,5.0,5.0,5.0|1339632000,1364515200,1389484800,1390694400,1402358400
7773,4813,6454,9440,253|5.0,5.0,5.0,5.0|1370649600,1379289600,1382313600,1386720000
7780,37967,4813,9440,253|4.0,4.0,3.0,1.0|1123459200,1125532800,1134086400,1247702400
7793,38007,33017,16766,31959,32028,33908,33987,38006|3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0|1373068800,1383264000,1383264000,1387065600,1387065600,1387065600,1387065600,1387065600
7815,38084,6454,30234,253|5.0,4.0,5.0,5.0|1344297600,1351209600,1351209600,1364169600
7867,20095,38268,38269,253|4.0,3.0,4.0,5.0|1337644800,1346889600,1353456000,1364169600
7897,253,9440,30234,4879|5.0,5.0,5.0,5.0|1355875200,1355875200,1355875200,1393977600
7899,253,20825,33017,16766,9757|4.0,1.0,1.0,1.0,5.0|1357603200,1381708800,1381708800,1381708800,1381708800
7948,1720,4870,17346,253|5.0,4.0,5.0,5.0|1351641600,1353283200,1366588800,1392508800
7954,38572,38571,253,9440,17346|5.0,4.0,5.0,5.0,5.0|1367539200,1397606400,1400112000,1400112000,1400112000
7998,9440,6454,30234,253|1.0,3.0,2.0,1.0|1355270400,1355270400,1355270400,1357084800
8007,10251,19524,8195,253|5.0,4.0,5.0,5.0|1367539200,1367539200,1367539200,1394236800
8018,253,9440,4813,6454,17346|5.0,5.0,5.0,5.0,5.0|1373414400,1373414400,1373414400,1373414400,1373414400
8075,253,7563,1200,32499|5.0,4.0,5.0,5.0|1377907200,1377907200,1380931200,1382832000
8090,39038,39039,35431,35105,39041,35106,35434,39040|4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0|1353542400,1354060800,1377216000,1377216000,1377216000,1377216000,1377216000,1383004800
8098,253,9440,4813,6454|5.0,4.0,4.0,5.0|1374624000,1374624000,1374624000,1374624000
8128,6454,4813,253,39174|5.0,5.0,4.0,4.0|1383264000,1385251200,1398470400,1399852800
8218,14561,38947,4326,28883,39493,253|5.0,4.0,5.0,5.0,5.0,4.0|1291420800,1292544000,1293408000,1297209600,1300665600,1333843200
8277,4813,253,9440,39681|5.0,4.0,3.0,4.0|1383350400,1386201600,1386288000,1390348800
